Date,Oyster,Bike
30/06/2016,0,261.75
01/07/2016,10,0
02/07/2016,0,0
03/07/2016,0,0
04/07/2016,0,0
05/07/2016,10,0
06/07/2016,0,0
07/07/2016,0,0
08/07/2016,0,0
09/07/2016,10,0
10/07/2016,0,0
11/07/2016,0,0
12/07/2016,0,0
13/07/2016,4.6,0
14/07/2016,0,0
15/07/2016,0,0
16/07/2016,0,0
17/07/2016,0,0
18/07/2016,0,0
19/07/2016,0,0
20/07/2016,0,0
21/07/2016,0,0
22/07/2016,5,0
23/07/2016,0,0
24/07/2016,0,0
25/07/2016,0,74.7
26/07/2016,20,0
27/07/2016,0,0
28/07/2016,0,0
29/07/2016,0,0
30/07/2016,0,0
31/07/2016,10.05,0
01/08/2016,0,0
02/08/2016,0,0
03/08/2016,0,0
04/08/2016,0,0
05/08/2016,4,0
06/08/2016,17,0
07/08/2016,0,0
08/08/2016,0,0
09/08/2016,0,0
10/08/2016,0,0
11/08/2016,3,0
12/08/2016,5,0
13/08/2016,10,0
14/08/2016,0,0
15/08/2016,0,0
16/08/2016,0,0
17/08/2016,0,0
18/08/2016,10,0
19/08/2016,0,0
20/08/2016,0,0
21/08/2016,0,0
22/08/2016,0,0
23/08/2016,20,0
24/08/2016,0,0
25/08/2016,0,0
26/08/2016,0,0
27/08/2016,1.4,0
28/08/2016,20,0
29/08/2016,0,0
30/08/2016,0,92.22
31/08/2016,0,0
01/09/2016,0,0
02/09/2016,0,0
03/09/2016,3,0
04/09/2016,0,0
05/09/2016,5,0
06/09/2016,0,0
07/09/2016,0,0
08/09/2016,0,0
09/09/2016,10,0
10/09/2016,0,0
11/09/2016,0,0
12/09/2016,10,0
13/09/2016,0,0
14/09/2016,0,0
15/09/2016,0,0
16/09/2016,3.1,0
17/09/2016,0,0
18/09/2016,10,0
19/09/2016,0,0
20/09/2016,0,0
21/09/2016,0,0
22/09/2016,0,0
23/09/2016,0,0
24/09/2016,0,0
25/09/2016,13,0
26/09/2016,10,0
27/09/2016,0,0
28/09/2016,0,0
29/09/2016,10,0
30/09/2016,0,0
01/10/2016,0,0
02/10/2016,0,0
03/10/2016,1.6,0
04/10/2016,14.1,0
05/10/2016,0,0
06/10/2016,0,0
07/10/2016,0,0
08/10/2016,4.3,0
09/10/2016,0,0
10/10/2016,0,0
11/10/2016,4.3,0
12/10/2016,5.8,0
13/10/2016,0,0
14/10/2016,5.8,0
15/10/2016,3.2,0
16/10/2016,3.2,0
17/10/2016,6.5,0
18/10/2016,5.3,0
19/10/2016,0,0
20/10/2016,0,0
21/10/2016,3,0
22/10/2016,0,0
23/10/2016,4.8,0
24/10/2016,0,0
25/10/2016,3.2,0
26/10/2016,0,0
27/10/2016,0,0
28/10/2016,5.85,0
29/10/2016,3.5,0
30/10/2016,0,0
31/10/2016,3.2,0
01/11/2016,3.2,0
02/11/2016,0,0
03/11/2016,3,0
04/11/2016,3.1,0
05/11/2016,5.35,0
06/11/2016,0,0
07/11/2016,6.5,0
08/11/2016,0,0
09/11/2016,5.8,0
10/11/2016,0,0
11/11/2016,0,0
12/11/2016,3.1,0
13/11/2016,0,0
14/11/2016,5.8,0
15/11/2016,0,0
16/11/2016,4.3,0
17/11/2016,3.55,0
18/11/2016,2.05,0
19/11/2016,3.2,0
20/11/2016,3.2,0
21/11/2016,5.8,0
22/11/2016,0,0
23/11/2016,5.8,0
24/11/2016,0,0
25/11/2016,0,0
26/11/2016,0,0
27/11/2016,0,0
28/11/2016,0,0
29/11/2016,0,0
30/11/2016,3.2,0
01/12/2016,3.2,0
02/12/2016,0,0
03/12/2016,1.6,0
04/12/2016,0,0
05/12/2016,1.5,0
06/12/2016,0,0
07/12/2016,0,0
08/12/2016,0,0
09/12/2016,0,0
10/12/2016,2.6,0
11/12/2016,2,0
12/12/2016,5.8,0
13/12/2016,5.8,0
14/12/2016,3.2,0
15/12/2016,3.2,0
16/12/2016,3.2,0
17/12/2016,1.6,0
18/12/2016,1.6,0
19/12/2016,1.5,0
20/12/2016,0,0
21/12/2016,0,0
22/12/2016,0,0
23/12/2016,3.2,0
24/12/2016,3.2,0
25/12/2016,0,0
26/12/2016,0,0
27/12/2016,3.2,0
28/12/2016,0,0
29/12/2016,3.2,0
30/12/2016,4.3,0
31/12/2016,3.2,0
01/01/2017,0,0
02/01/2017,0,0
03/01/2017,0,0
04/01/2017,0,0
05/01/2017,0,0
06/01/2017,1.5,0
07/01/2017,0,0
08/01/2017,0,0
09/01/2017,0,0
10/01/2017,0,0
11/01/2017,0,0
12/01/2017,3,0
13/01/2017,1.5,0
14/01/2017,5.1,0
15/01/2017,0,0
16/01/2017,5.85,0
17/01/2017,0,0
18/01/2017,1.5,0
19/01/2017,3.9,0
20/01/2017,0,0
21/01/2017,4.35,0
22/01/2017,0,0
23/01/2017,5.85,0
24/01/2017,1.5,0
25/01/2017,5.85,45.94
26/01/2017,3.1,0
27/01/2017,5.85,0
28/01/2017,1,0
29/01/2017,3,0
30/01/2017,5.85,0
31/01/2017,0,0
01/02/2017,0,0
02/02/2017,0,0
03/02/2017,0,0
