Date,Oyster,Bike
2017-06-30,0,201.75
2017-07-01,10,0
2017-07-02,0,0
2017-07-03,0,0
2017-07-04,0,0
2017-07-05,10,0
2017-07-06,0,0
2017-07-07,0,0
2017-07-08,0,0
2017-07-09,10,0
2017-07-10,0,0
2017-07-11,0,0
2017-07-12,0,0
2017-07-13,4.6,0
2017-07-14,0,0
2017-07-15,0,0
2017-07-16,0,0
2017-07-17,0,0
2017-07-18,0,0
2017-07-19,0,0
2017-07-20,0,0
2017-07-21,0,0
2017-07-22,5,0
2017-07-23,0,0
2017-07-24,0,0
2017-07-25,0,74.7
2017-07-26,20,0
2017-07-27,0,0
2017-07-28,0,0
2017-07-29,0,0
2017-07-30,0,0
2017-07-31,10.05,0
2017-08-01,0,0
2017-08-02,0,0
2017-08-03,0,0
2017-08-04,0,0
2017-08-05,4,0
2017-08-06,17,0
2017-08-07,0,0
2017-08-08,0,0
2017-08-09,0,0
2017-08-10,0,0
2017-08-11,3,0
2017-08-12,5,0
2017-08-13,10,0
2017-08-14,0,0
2017-08-15,0,0
2017-08-16,0,0
2017-08-17,0,0
2017-08-18,10,0
2017-08-19,0,0
2017-08-20,0,0
2017-08-21,0,0
2017-08-22,0,0
2017-08-23,20,0
2017-08-24,0,0
2017-08-25,0,0
2017-08-26,0,0
2017-08-27,1.4,0
2017-08-28,20,0
2017-08-29,0,0
2017-08-30,0,92.22
2017-08-31,0,0
2017-09-01,0,0
2017-09-02,0,0
2017-09-03,3,0
2017-09-04,0,0
2017-09-05,5,0
2017-09-06,0,0
2017-09-07,0,0
2017-09-08,0,0
2017-09-09,10,0
2017-09-10,0,0
2017-09-11,0,0
2017-09-12,10,0
2017-09-13,0,0
2017-09-14,0,0
2017-09-15,0,0
2017-09-16,3.1,0
2017-09-17,0,0
2017-09-18,10,0
2017-09-19,0,0
2017-09-20,0,0
2017-09-21,0,0
2017-09-22,0,0
2017-09-23,0,0
2017-09-24,0,0
2017-09-25,13,0
2017-09-26,10,0
2017-09-27,0,0
2017-09-28,0,0
2017-09-29,10,0
2017-09-30,0,0
2017-10-01,0,0
2017-10-02,0,0
2017-10-03,1.6,0
2017-10-04,14.1,0
2017-10-05,0,0
2017-10-06,0,0
2017-10-07,0,0
2017-10-08,4.3,0
2017-10-09,0,0
2017-10-10,0,0
2017-10-11,4.3,0
2017-10-12,5.8,0
2017-10-13,0,0
2017-10-14,5.8,0
2017-10-15,3.2,0
2017-10-16,3.2,0
2017-10-17,6.5,0
2017-10-18,5.3,0
2017-10-19,0,0
2017-10-20,0,0
2017-10-21,3,0
2017-10-22,0,0
2017-10-23,4.8,0
2017-10-24,0,0
2017-10-25,3.2,0
2017-10-26,0,0
2017-10-27,0,0
2017-10-28,5.85,0
2017-10-29,3.5,0
2017-10-30,0,0
2017-10-31,3.2,0
2017-11-01,3.2,0
2017-11-02,0,0
2017-11-03,3,0
2017-11-04,3.1,0
2017-11-05,5.35,0
2017-11-06,0,0
2017-11-07,6.5,0
2017-11-08,0,0
2017-11-09,5.8,0
2017-11-10,0,0
2017-11-11,0,0
2017-11-12,3.1,0
2017-11-13,0,0
2017-11-14,5.8,0
2017-11-15,0,0
2017-11-16,4.3,0
2017-11-17,3.55,0
2017-11-18,2.05,0
2017-11-19,3.2,0
2017-11-20,3.2,0
2017-11-21,5.8,0
2017-11-22,0,0
2017-11-23,5.8,0
2017-11-24,0,0
2017-11-25,0,0
2017-11-26,0,0
2017-11-27,0,0
2017-11-28,0,0
2017-11-29,0,0
2017-11-30,3.2,0
2017-12-01,3.2,0
2017-12-02,0,0
2017-12-03,1.6,0
2017-12-04,0,0
2017-12-05,1.5,0
2017-12-06,0,0
2017-12-07,0,0
2017-12-08,0,0
2017-12-09,0,0
2017-12-10,2.6,0
2017-12-11,2,0
2017-12-12,5.8,0
2017-12-13,5.8,0
2017-12-14,3.2,0
2017-12-15,3.2,0
2017-12-16,3.2,0
2017-12-17,1.6,0
2017-12-18,1.6,0
2017-12-19,1.5,0
2017-12-20,0,0
2017-12-21,0,0
2017-12-22,0,0
2017-12-23,3.2,0
2017-12-24,3.2,0
2017-12-25,0,0
2017-12-26,0,0
2017-12-27,3.2,0
2017-12-28,0,0
2017-12-29,3.2,0
2017-12-30,4.3,0
2017-12-31,3.2,0
2018-01-01,0,0
2018-01-02,0,0
2018-01-03,0,0
2018-01-04,0,0
2018-01-05,0,0
2018-01-06,1.5,0
2018-01-07,0,0
2018-01-08,0,0
2018-01-09,0,0
2018-01-10,0,0
2018-01-11,0,0
2018-01-12,3,0
2018-01-13,1.5,0
2018-01-14,5.1,0
2018-01-15,0,0
2018-01-16,5.85,0
2018-01-17,0,0
2018-01-18,1.5,0
2018-01-19,3.9,0
